date,min,max,notes
2026-03-10,6.90,7.40,
2026-03-03,6.90,7.40,
2026-02-24,6.80,7.40,
2026-02-17,6.80,7.40,
2026-02-10,6.80,7.40,
2026-02-03,6.80,7.40,
2026-01-27,6.80,7.40,
2026-01-20,6.80,7.40,
2026-01-13,6.80,7.40,
2026-01-06,NaN,NaN,holiday
2025-12-30,NaN,NaN,holiday
2025-12-23,NaN,NaN,holiday
2025-12-16,7.00,8.00,
2025-12-09,7.20,8.20,
2025-12-02,7.20,8.40,
2025-11-25,7.40,8.40,
2025-11-18,7.40,8.40,
2025-11-11,7.40,8.40,
2025-11-04,7.40,8.40,
2025-10-28,8.50,9.00,
2025-10-21,9.30,9.50,
2025-10-14,9.30,9.50,
2025-10-07,9.30,9.50,
2025-09-30,9.30,9.50,
2025-09-23,9.30,9.50,
2025-09-16,9.30,9.50,
2025-09-09,9.30,9.50,
2025-09-02,9.30,9.50,
2025-08-26,9.30,9.50,
2025-08-19,NaN,NaN,holiday
2025-08-12,NaN,NaN,holiday
2025-08-05,9.30,9.50,
2025-07-29,9.30,9.50,
2025-07-22,9.30,9.50,
2025-07-15,9.40,9.70,
2025-07-08,9.50,9.90,
2025-07-01,9.50,9.90,
2025-06-24,9.50,9.90,holiday
2025-06-17,9.50,9.90,
2025-06-10,9.50,9.90,
2025-06-03,9.50,9.90,
2025-05-27,9.50,9.90,
2025-05-20,9.50,9.90,
2025-05-13,9.50,9.90,
2025-05-06,9.50,9.90,
2025-04-29,9.40,9.80,
2025-04-22,NaN,NaN,holiday
2025-04-15,9.40,9.80,
2025-04-08,9.40,9.80,
2025-04-01,9.40,9.80,
2025-03-25,9.20,9.60,
2025-03-18,9.10,9.50,
2025-03-11,9.10,9.50,
2025-03-04,9.10,9.50,
2025-02-25,9.10,9.50,date switch
2025-02-18,9.10,9.50,
2025-02-11,9.10,9.50,
2025-02-04,9.10,9.50,
2025-01-28,9.10,9.50,
2025-01-21,8.80,9.50,
2025-01-14,8.80,9.50,
2025-01-07,8.80,9.50,
2024-12-31,NaN,NaN,holiday
2024-12-24,NaN,NaN,holiday
2024-12-17,8.80,9.50,
2024-12-10,8.80,9.50,
2024-12-03,8.80,9.50,
2024-11-26,8.20,8.80,
2024-11-19,7.80,8.40,
2024-11-12,NaN,NaN,
2024-11-05,9.00,9.30,
2024-10-29,9.30,9.50,
2024-10-22,9.00,9.30,
2024-10-15,9.00,9.30,
2024-10-08,9.00,9.30,
2024-10-01,9.00,9.30,
2024-09-24,9.00,9.30,
2024-09-17,9.00,9.30,
2024-09-10,9.00,9.30,
2024-09-03,9.00,9.30,
2024-08-27,9.00,9.30,
2024-08-20,NaN,NaN,
2024-08-13,NaN,NaN,
2024-08-06,9.00,9.30,
2024-07-30,9.10,9.40,
2024-07-23,9.40,9.60,
2024-07-16,9.40,9.60,
2024-07-09,9.40,9.60,
2024-07-02,9.40,9.60,
2024-06-25,9.40,9.60,
2024-06-18,9.40,9.60,
2024-06-11,9.40,9.60,
2024-06-04,9.40,9.60,
2024-05-28,9.60,9.80,
2024-05-21,9.60,9.80,
2024-05-14,9.60,9.80,
2024-05-07,9.60,9.80,
2024-04-30,9.60,9.80,
2024-04-23,9.60,9.80,
2024-04-16,9.60,9.80,
2024-04-09,9.60,9.80,
2024-04-02,NaN,NaN,
2024-03-26,9.70,9.90,
2024-03-19,9.70,9.90,
2024-03-12,9.70,9.90,
2024-03-05,9.70,9.90,switch end
2024-02-27,9.70,9.90,
2024-02-20,9.70,9.90,
2024-02-13,9.70,9.90,
2024-02-06,9.70,9.90,
2024-01-30,9.70,9.90,
2024-01-23,9.70,9.90,
2024-01-16,9.70,9.90,
2024-01-09,9.70,9.90,
2024-01-02,NaN,NaN,
2023-12-26,NaN,NaN,
2023-12-19,NaN,NaN,
2023-12-12,9.00,9.20,
2023-12-05,9.00,9.20,
2023-11-28,8.70,8.90,
2023-11-21,8.30,8.50,
2023-11-14,7.90,8.50,
2023-11-07,8.10,9.10,
2023-10-31,8.30,9.10,
2023-10-24,8.80,8.90,
2023-10-17,8.80,8.90,
2023-10-10,8.80,8.90,
2023-10-03,9.30,9.50,
2023-09-26,9.30,9.50,
2023-09-19,9.30,9.50,
2023-09-12,9.30,9.50,
2023-09-05,9.30,9.50,
2023-08-29,9.30,9.30,
2023-08-22,NaN,NaN,
2023-08-15,NaN,NaN,
2023-08-08,9.00,9.00,midpoint
2023-08-01,9.00,9.00,midpoint
2023-07-25,9.00,9.00,midpoint
2023-07-18,8.70,NaN,Max missing
2023-07-11,8.00,NaN,Max missing
2023-07-04,7.50,7.90,
2023-06-27,7.30,7.60,
2023-06-20,7.30,7.60,
2023-06-13,7.10,7.30,
2023-06-06,7.10,7.30,
2023-05-30,6.90,7.00,
2023-05-23,6.80,6.90,
2023-05-16,6.50,6.60,
